,0
0,COVID
1,Sat
2,cухой
3,jlsirf
4,rusvoron
5,tдо
6,АДТ
7,АППЕТИТА
8,АРТ
9,Активно
10,Аллергия
11,Арт
12,Аускультативно
13,Аускультация
14,БЕЗ
15,БОЛЕЛИ
16,БОЛИ
17,БОЛЬ
18,БСМП
19,Без
20,Безсимптомное
21,Беременна
22,Беспаловым
23,Бессимптомная
24,Бессимптомное
25,Бессимптомны
26,Бикасовой
27,Болел
28,Болело
29,Болен
30,Боли
31,Болит
32,Боль
33,Больв
34,Больше
35,Бронхит
36,ВЗЯТЫ
37,ВКУСА
38,ВЛАЖНЫЙ
39,ВНИЗУ
40,ВОСПАЛЕНИЕ
41,ВЫПИСАН
42,ВЫСОКАЯ
43,ВЯЛОСТЬ
44,Вероятность
45,Вероятный
46,Викторович
47,Влажный
48,Внебольничная
49,Воскресенска
50,Вредена
51,Выраженная
52,Высокая
53,Выявлена
54,Вялость
55,ГБОУ
56,ГБУ
57,ГБУЗ
58,ГЕРПЕС
59,ГИПЕРЕМИЯ
60,ГЛАЗАХ
61,ГОЛОВНАЯ
62,ГОЛОВОКРУЖЕНИЕ
63,ГОЛОС
64,ГОЛОСА
65,ГОРЛА
66,ГОРЛЕ
67,ГОРЛО
68,ГОСПИТАЛИЗИРОВАН
69,ГРБ
70,ГРЛЕ
71,ГРУДИ
72,ГРУДИНОЙ
73,ГРУДНОЙ
74,Гиперемия
75,Гипертрофия
76,Гол
77,Голвные
78,Головная
79,Головные
80,Головокружение
81,Гореч
82,Гылыковой
83,ДАВЛЕНИЯ
84,ДЗМ
85,ДИАРЕЯ
86,ДЫХАНИЕ
87,ДЫХАНИЯ
88,Дарьей
89,Диабетическая
90,Диарея
91,Диффузный
92,Домодедово
93,Доставлена
94,Другая
95,Другие
96,ЖИВОТА
97,ЖИВОТЕ
98,ЖИДКИЙ
99,Жалоб
100,Жалобы
101,Ждановой
102,Жесткое
103,Жжение
104,ЗАБОЛЕВШИМ
105,ЗАЛОЖЕННОСТЬ
106,ЗАТРУДНЕННОЕ
107,ЗАТРУДНЕННОСТЬ
108,ЗАТРУДНИТЕЛЬНОЕ
109,ЗЕВА
110,Заболела
111,Забор
112,Загрудинная
113,Заложен
114,Заложенность
115,Затруднения
116,Затрудненное
117,Затрудненность
118,Затруднённое
119,Здоров
120,Здорова
121,Зев
122,ИВЛ
123,ИНФЕКЦИЕЙ
124,Ибрагимова
125,Изменение
126,Икота
127,Инфекция
128,Использовала
129,Источник
130,Италии
131,КАТАРАЛЬНЫЕ
132,КАШЕЛЬ
133,КВИ
134,КЛИНИКИ
135,КЛИНИЧЕСКИОГО
136,КОНТАКТ
137,КОНТАКТУ
